Date,Ticker,Type,Quantity,Price per share,Total Amount,Currency,FX Rate
2026-03-11T16:45:23.674Z,ETSY,SELL - MARKET,5.56151894,USD 52.43,USD 291.58,USD,0.0476
2026-03-11T16:49:04.541Z,RIVN,SELL - MARKET,18.5687085,USD 16.36,USD 303.80,USD,0.0476
2026-03-11T16:50:44.453Z,PATH,SELL - MARKET,102.21160617,USD 11.87,USD 1213.37,USD,0.0476
2026-03-12T08:56:10.951163Z,,CASH WITHDRAWAL,,,USD -1808.75,USD,0.0474
2026-04-06T18:41:09.531Z,PLTR,SELL - MARKET,10,USD 148.06,USD 1480.60,USD,0.0473
2026-04-07T09:32:11.601331Z,,CASH WITHDRAWAL,,,USD -1480.60,USD,0.0474
2026-04-15T16:43:25.048Z,PLTR,SELL - MARKET,10,USD 139.94,USD 1399.40,USD,0.0486
2026-04-16T13:50:42.324519Z,,CASH WITHDRAWAL,,,USD -1399.40,USD,0.0485
2026-04-21T14:08:52.927Z,PLTR,SELL - MARKET,10,USD 149.15,USD 1491.42,USD,0.0486
2026-04-22T14:26:51.001185Z,,CASH WITHDRAWAL,,,USD -1491.42,USD,0.0484
2026-05-06T17:53:33.271Z,PLTR,SELL - MARKET,10,USD 133.51,USD 1335.10,USD,0.0484
2026-05-07T17:56:47.170752Z,,CASH WITHDRAWAL,,,USD -1335.10,USD,0.0485
2026-05-20T15:26:52.144Z,PLTR,SELL - MARKET,10,USD 135.85,USD 1358.45,USD,0.0480
2026-05-21T06:35:32.130394Z,,CASH WITHDRAWAL,,,USD -1358.45,USD,0.0479
2026-05-26T18:33:49.147Z,PLTR,SELL - MARKET,10,USD 137.22,USD 1372.16,USD,0.0481
2026-05-27T07:21:42.038427Z,,CASH WITHDRAWAL,,,USD -1372.16,USD,0.0481
2026-05-28T16:40:57.731Z,PLTR,SELL - MARKET,10,USD 139.61,USD 1396.10,USD,0.0481
2026-06-01T10:04:15.671018Z,,CASH WITHDRAWAL,,,USD -1396.10,USD,0.0481
2026-06-01T19:32:15.007Z,PLTR,SELL - MARKET,30,USD 160.80,USD 4823.76,USD,0.0481
2026-06-02T14:04:02.953Z,LAC,BUY - MARKET,300,USD 6.09,USD 1827,USD,0.0482
2026-06-02T14:17:22.454387Z,,CASH WITHDRAWAL,,,USD -500,USD,0.0482
2026-06-02T18:13:09.398334Z,,CASH WITHDRAWAL,,,USD -2496.76,USD,0.0481
